CLAVE,NOMBRE
1809,LAB. DE TECNOLOGIA DE ALIMENTOS
1810,CONFORMADO MECANICO
1811,ELECTROMETALURGIA
1815,FUNDICION
1817,DISEÑO DE PROCESOS
1819,DINAMICA Y CONTROL DE PROCESOS
1823,LABORATORIO D INGENIERIA QUIMICA IV
1903,SEMINARIO II
1904,TRABAJO DE INVESTIGACION II
1906,ESTANCIA
1907,ANALISIS DE FALLAS
1908,INGENIERIA DE ALEACIONES
1909,PROYECTO
1911,SIDERURGIA
1912,INGENIERIA DE PROYECTOS
74,ESPECTROSCOPIA APLICADA
85,OPTIMIZACION Y PROCESOS D SINT I
108,FISICOQUIMICA FARMACEUTICA
113,APLICACIONES D BIOQUIMICA Y BIOLOGIA
114,BIOSINTESIS Y BIOTECNOLOGIA
117,HEMATOLOGIA
118,INMUNOLOGIA APLICADA
119,MICOLOGIA
130,MICROBIOLOGIA AMBIENTAL I
132,PARASITOLOGIA
133,VIROLOGIA
140,ALIMENTOS FERMENTADOS
143,ENOLOGIA
144,GENETICA Y BIOLOGIA MOLECULAR
146,MALTA Y CERVEZA
151,DESARROLLO DE NUEVOS PRODUCTOS
170,PRODUCTOS PESQUEROS Y ACUICOLAS
173,TECNOLOGIA DE LACTEOS
205,ADMINISTRACION DE PROYECTOS
212,CATALISIS II
222,LABORATORIO DE MICROBIOLOGIA
273,PROTECCION AMBIENTAL I
272,MODELADO Y SIMULACION DE PROCESOS PO
238,LABORATORIO DE POLIMEROS I
30,BIOSINTESIS MICROBIANA
1414,QUIMICA DEL ESTADO SOLIDO
1510,QUIMICA COVALENTE
1622,QUIMICA DE COORDINACION
1624,QUIMICA ORGANOMETALICA
148,TECNOLOGIA DE FERMENTACIONES
171,TECNOLOGIA DE CEREALES
1512,DISEÑO DE EXPERIMENTOS
1812,FUNDAMENTOS DE ADMINISTRACION
XX01,QUIMICA INORGANICA II
XX02,QUIMICA INORGANICA III
207,CATALISIS I
1316,BALANCES DE MATERIA Y ENERGIA
1412,QUIMICA ORGANICA II
1542,FENOMENOS DE SUPERFICIE
1646,LABORATORIO DE INGENIERIA QUIMICA II
1740,INGENIERIA DE REACTORES II
XX03,QUIMICA INORGANICA IV
147,TECNOLOGIA ENZIMATICA
185,METALURGIA DE ALEACIONES COLADAS BAS
1419,EQUILIBRIO DE FASES EN METALURGIA Y
1420,INTRODUCCION A LA CIENCIA E INGENIER
1533,TRANSPORTE DE ENERGIA
1632,PIROMETALURGIA
1639,TRANSPORTE DE MASA
1732,HIDROMETALURGIA
84,INTRODUCCION A LA TERMODINAMICA ESTA
89,RECURSOS NATURALES
239,LABORATORIO DE POLIMEROS II
136,FARMACOTERAPIA II
138,FARMACOVIGILANCIA
112,TECNOLOGIA FARMACEUTICA III
216,ESTANCIA ACADEMICA
204,ADMINISTRACION DEL RIESGO
217,ESTANCIA PROFESIONAL
274,PROTECCION AMBIENTAL II
275,PROTECCION AMBIENTAL III
153,FUNCIONALIDAD DE INGREDIENTES Y ADI
150,ASEGURAMIENTO DE CALIDAD
155,LEGISLACION Y NORMATIVIDAD
157,MECANISMOS DE PATOGENICIDAD
158,TECNICAS AVANZADAS EN MICROBIOL.
115,ENDOCRINOLOGIA
116,FISIOPATOLOGIA
159,FACTORES TOXICOS
165,NUTRICION HUMANA
166,TOPICOS SELECTOS EN NUTRICION
168,GRASAS Y ACEITES COMESTIBLES
169,PANIFICACION
172,TECNOLOGIA DE FRUTAS Y HORTALIZAS
177,PRODUCTOS CARNICOS
178,ANALIS MAT D TRAB EXP EN ING D PROC
184,MATERIALES COMPUESTOS DE MATRIZ META
187,METALURGIA DE POLVOS Y SOLDADURA
218,INGENIERIA BIOQUIMICA
237,LABORATORIO DE CATALISIS
70,BIOLOGIA CELULAR
131,MICROBIOLOGIA AMBIENTAL II
31,INTRODUCCION A LOS MATERIALES
34,QUIMICA BIOINORGANICA
69,TECNICAS DE ANALISIS DE SOLIDOS
80,INTRODUCCION A LA DINAMICA QUIMICA N
83,INTRODUCCION A LA SIMULACION MOLECUL
68,SINTESIS DE MATERIALES
91,SINTESIS DE CERAMICOS
95,ECONOMIA Y SOCIEDAD
96,FILOSOFIA DE LA CIENCIA
97,FUNDAMENTOS DE ADMINISTRACION
98,FUNDAMENTOS DE DERECHO
99,PENSAMIENTO Y APRENDIZAJE
101,REGIONES SOCIOECONOMICAS
102,RELACIONES HUMANAS
104,COMUNICACION CIENTIFICA
179,BIOLIXIVIACION DE MINERALES
87,PROPIEDADES FISICAS DE LOS SOLIDOS
303,QUIMICA DE ALIMENTOS II
154,CURSO BASICO DE CIENCIAS NUC.
1344,GENETICA GENERAL
2,ADMINISTRACION DE EMPRESAS II
1,ADMINISTRACION DE EMPRESAS I
52,BIOSINTESIS DE APLICACION IND.
1236,EQUIL. QUIM.SIMP.EN FASE HOM.
576,OPTIM. DE PROC. METALUR.
223,ECUACIONES DIFERENCIALES
523,MATEMATICA IV
176,DESARROLLO DE MEDICAMENTOS
296,FISICOQUIMICA I
524,MICOLOGIA
651,QUIMICA ORGANICA II
162,DISEÑO DE EXPERIMENTOS
722,SEMINARIO II
1546,QUIMICA ANALITICA III
342,INGENIERIA INDUSTRIAL
607,PREPARACION DE MINERALES I
493,METALURGIA EXTRACTIVA IV
100,PSICOLOGIA DEL TRABAJO HUMANO
1824,TALLER DE PROBLEMAS
267,MATEMATICAS APLICADAS III
190,TECS SELECTAS P MODEL MAT EN ING D P
1816,ING. DE PROCESOS METALURGICOS Y DE M
93,TERMODINAMICA IRREVERSIBLE LINEAL
88,QUIMICA COMPUTACIONAL
75,EQUILIBRIO DE ECOSISTEMAS
79,IDEAS PREVIAS
71,CELULOSA Y PAPEL I
72,CELULOSA Y PAPEL II
103,TEORIA DE LA ORGANIZACION
92,SISTEMAS DE INFORMACION DIGITAL
90,SEMINARIO DE LA PRACTICA DOCENTE
73,CONSTRUCTIVISMO Y ENSEÑANZA DE LA CI
188,MICROSCOPIA DE BARRIDO ELECTRONICO
183,INTRODUCCION A LA CIENCIA DE POLIMER
180,CERAMICOS
1312,FISIOLOGIA
1612,QUIMICA ANALITICA INSTRUMENTAL I
206,BIOQUIMICA GENERAL
81,INTRODUCCION A LA GENOMICA
